"SAMPLE_NUMBER","ORIGINAL_SAMPLE","LOGIN_DATE","LOGIN_DATE","ANALYSIS","PREP_DATE","DATE_STARTED","DATE_COMPLETED","STATUS","LAB","REPLICATE_COUNT","CUSTOMER"
"9231568","9231568","03/11/2016 07:40:53 AM","03/11/2016 07:40:53 AM","AFLA020493","","05/11/2016 09:28:11 AM","05/11/2016 03:43:14 PM","A","CHEMISTRY","1","MG50"
"9229888","9229888","02/11/2016 01:48:20 PM","02/11/2016 01:48:20 PM","AFLA020493","03/11/2016 09:49:55 AM","04/11/2016 01:24:02 PM","04/11/2016 04:16:10 PM","A","CHEMISTRY","1","MG15"
"9226853","9226853","02/11/2016 07:32:12 AM","02/11/2016 07:32:12 AM","AFLA020493","","04/11/2016 09:06:38 AM","04/11/2016 04:54:39 PM","A","CHEMISTRY","1","MG50"
"9225938","9225938","01/11/2016 12:29:18 PM","01/11/2016 12:29:18 PM","AFLA020493","","04/11/2016 09:06:34 AM","04/11/2016 04:54:39 PM","A","CHEMISTRY","1","MG50"
"9221875","9221875","31/10/2016 09:57:09 AM","31/10/2016 09:57:09 AM","AFLA020493","","03/11/2016 09:54:58 AM","03/11/2016 03:08:08 PM","A","CHEMISTRY","1","MG50"
"9221665","9221665","31/10/2016 09:20:32 AM","31/10/2016 09:20:32 AM","AFLA020493","","03/11/2016 09:54:58 AM","03/11/2016 03:08:06 PM","A","CHEMISTRY","1","MG50"
"9229888","9229888","02/11/2016 01:48:20 PM","02/11/2016 01:48:20 PM","ICPM030611","03/11/2016 09:49:55 AM","03/11/2016 03:41:42 PM","03/11/2016 03:41:42 PM","A","CHEMISTRY","1","MG15"
"9239614","9239614","04/11/2016 02:54:21 PM","04/11/2016 02:54:21 PM","ICPM030611","05/11/2016 08:54:26 AM","08/11/2016 12:26:48 PM","08/11/2016 12:26:48 PM","A","CHEMISTRY","1","MG15"
"9229888","9229888","02/11/2016 01:48:20 PM","02/11/2016 01:48:20 PM","MAAS_PREP","03/11/2016 09:49:55 AM","03/11/2016 01:09:42 PM","03/11/2016 01:09:42 PM","A","CHEMISTRY","1","MG15"
"9239614","9239614","04/11/2016 02:54:21 PM","04/11/2016 02:54:21 PM","MAAS_PREP","05/11/2016 08:54:26 AM","05/11/2016 01:41:31 PM","05/11/2016 01:41:31 PM","A","CHEMISTRY","1","MG15"
"9229888","9229888","02/11/2016 01:48:20 PM","02/11/2016 01:48:20 PM","PREPDTAILS","03/11/2016 09:49:55 AM","03/11/2016 09:44:34 AM","03/11/2016 09:44:34 AM","A","CHEMISTRY","1","MG15"
"9239614","9239614","04/11/2016 02:54:21 PM","04/11/2016 02:54:21 PM","PREPDTAILS","05/11/2016 08:54:26 AM","05/11/2016 09:03:32 AM","05/11/2016 09:03:32 AM","A","CHEMISTRY","1","MG15"
"9225854","9225854","01/11/2016 12:10:46 PM","01/11/2016 12:10:46 PM","MOIS040493","","05/11/2016 11:58:36 AM","05/11/2016 11:58:36 AM","A","CHEMISTRY","1","MG50"
"9225856","9225856","01/11/2016 12:10:59 PM","01/11/2016 12:10:59 PM","MOIS040493","","05/11/2016 11:58:40 AM","05/11/2016 11:58:40 AM","A","CHEMISTRY","1","MG50"
"9227967","9227967","02/11/2016 10:05:27 AM","02/11/2016 10:05:27 AM","PROT010201","","03/11/2016 10:45:36 AM","03/11/2016 05:41:33 PM","A","CHEMISTRY","1","MG50"
"9227967","9227967","02/11/2016 10:05:27 AM","02/11/2016 10:05:27 AM","PROT010201","","03/11/2016 10:45:36 AM","03/11/2016 05:41:33 PM","A","CHEMISTRY","2","MG50"
"9228844","9228844","02/11/2016 11:43:56 AM","02/11/2016 11:43:56 AM","PROT010201","","03/11/2016 10:45:36 AM","03/11/2016 05:41:38 PM","A","CHEMISTRY","1","MG50"
"9228844","9228844","02/11/2016 11:43:56 AM","02/11/2016 11:43:56 AM","PROT010201","","03/11/2016 10:45:36 AM","03/11/2016 05:41:38 PM","A","CHEMISTRY","2","MG50"
"9232852","9232852","03/11/2016 10:59:16 AM","03/11/2016 10:59:16 AM","PROT010201","","04/11/2016 12:15:25 PM","07/11/2016 02:10:04 PM","A","CHEMISTRY","1","MG50"
"9232852","9232852","03/11/2016 10:59:16 AM","03/11/2016 10:59:16 AM","PROT010201","","04/11/2016 12:15:25 PM","07/11/2016 02:10:04 PM","A","CHEMISTRY","2","MG50"
"9225854","9225854","01/11/2016 12:10:46 PM","01/11/2016 12:10:46 PM","SALT010493","","04/11/2016 09:03:16 AM","04/11/2016 02:49:30 PM","A","CHEMISTRY","1","MG50"
"9225856","9225856","01/11/2016 12:10:59 PM","01/11/2016 12:10:59 PM","SALT010493","","04/11/2016 09:03:16 AM","04/11/2016 02:50:44 PM","A","CHEMISTRY","1","MG50"
"9229888","9229888","02/11/2016 01:48:20 PM","02/11/2016 01:48:20 PM","TITA140613","03/11/2016 09:49:55 AM","04/11/2016 09:56:33 AM","04/11/2016 11:41:05 AM","A","CHEMISTRY","1","MG15"
"9239614","9239614","04/11/2016 02:54:21 PM","04/11/2016 02:54:21 PM","TITA140613","05/11/2016 08:54:26 AM","07/11/2016 11:38:56 AM","07/11/2016 01:11:47 PM","A","CHEMISTRY","1","MG15"
